Country,2010_MUE,2011_MUE,2012_MUE,2013_MUE,2014_MUE,2015_MUE,2016_MUE,2017_MUE,2018_MUE,2019_MUE,2020_MUE
Mali,7.01,7.48,7.96,8.44,8.92,9.4,9.88,10.4,10.8,11.3,11.8
Mauritania,,,,,,,,,,,
Moldova,,,,,,,,,,,
Morocco,,,,,,,,,,,
Mozambique,8.46,8.63,8.8,8.97,9.14,,,,,,
Myanmar,,,,8.35,8.35,8.35,8.35,8.35,8.35,8.35,
Namibia,16.7,17.3,17.9,18.5,19.1,19.7,20.3,,,,
Nepal,7.78,8,7.8,7.6,7.4,7.2,7,6.8,6.6,6.4,
Nicaragua,,,,,,,,,,,
Niger,5.41,5.77,6.13,6.49,6.85,7.21,,,,,
Nigeria,11.2,12,12.9,13.7,13.3,12.9,12.5,12.2,11.8,11.4,11
Pakistan,11.5,12,12.5,13.4,14.3,15.2,16.1,17,17.9,18.8,19.7
Papua New Guinea,,,,,23.8,23.8,23.8,23.8,23.8,23.8,23.8
Peru,13.7,13,12.2,11.5,10.8,,,,,,
Philippines,12.5,12.8,13.2,13.5,13.2,12.9,12.6,12.3,12.1,11.8,11.5
Rwanda,4.01,4.63,5.24,5.86,6.47,7.09,7.71,8.32,8.94,,
Sao Tome & Principe,6.7,6.7,6.7,,,,,,,,
Senegal,3.9,1.97,8.88,5.36,1.83,8.92,8.92,13,9.09,9.5,9.91
Sierra Leone,10.2,9.89,9.59,9.3,9.75,10.2,10.7,11.1,11.6,12,12.5
South Africa,14.9,15.5,16,16.6,17.2,17.8,18.3,18.9,19.5,20,
Tajikistan,18.2,18.2,18.1,18,17.9,17.8,17.8,17.7,17.6,17.5,17.4
Tanzania,6.85,6.75,6.65,6.54,6.44,6.34,6.24,6.14,6.03,,
Timor Leste,16.6,17.5,18.3,19.2,20,20.9,21.7,22.6,23.4,24.3,
Togo,4.51,4.27,4.03,3.79,3.55,3.31,3.07,2.83,,,
Turkey,18.8,19.2,19.6,20,20.4,20.8,21.2,,,,
Uganda,8.9,9.05,10.3,11.5,12.8,14,15.3,16.5,17.7,19,
Ukraine,19.5,,,,,,,,,,
Uzbekistan,,,,,,,,,,,
Vietnam,,,,,,,,,,,
Yemen,13.2,13.3,13.3,13.4,13.4,13.4,13.5,,,,
Zambia,8.73,8.59,8.45,8.32,8.18,8.47,8.76,9.05,9.35,9.64,9.93
Zimbabwe,10.1,9.51,10.6,11.7,12.8,13.8,14.9,16,17.1,,
